Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,0,0,0,0,0,0,2.768382663,,,4.506179098,15.44282295,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.66122693,93.54245387,97.17,,,,
Africa Eastern and Southern,AFE,0,0.001598765,0.004664311,0.01360898,0.029658347,0.081216219,0.106348942,0.20205577,0.367790378,0.544145756,0.743921679,0.93077952,1.106896077,1.40818976,1.692749813,1.794512894,2.060876467,2.900285735,2.702876404,3.219700254,5.319106521,6.833853453,8.575521852,10.18931332,12.30478904,14.62566359,15.89435523,18.24005982,21.70069538,24.30465847,27.3503079,
Afghanistan,AFG,0,0,0,0,0,0,,,,,,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4,
Africa Western and Central,AFW,0,0,0,0,4.30E-06,0.000128512,0.007034948,0.019842295,0.035424456,0.086238849,0.138960653,0.20959643,0.411060803,0.657285159,1.177864968,2.326741166,3.463236378,4.24017377,4.991565455,5.807960733,7.242095797,8.663310491,10.29344667,12.57717035,14.93406183,18.19228688,20.92663241,24.66358693,29.33836803,31.78586051,34.12813669,
Angola,AGO,0,0,0,0,0,0,0.000775929,0.005673746,0.018453724,0.071964087,0.105045562,0.136013867,0.270376746,0.370682065,0.464814618,1.143366827,1.5,1.7,1.9,2.3,2.8,4.7,7.7,13,21.4,22,23.2,26,29,32.4,36,
Albania,ALB,0,0,0,0,0,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.55039112,72.24,
Andorra,AND,0,0,0,0,0,0,1.526601023,3.050175385,6.886209218,7.635686143,10.53883561,,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,81,82.7,84.4,86.1,87.9,89.7,91.56746703,,,,
Arab World,ARB,0,0,0,0.000892639,0.002815605,0.014112855,0.038461262,0.135488159,0.270604169,0.615844606,1.165887243,1.590368591,2.72740392,3.686682404,7.081958009,8.464300594,11.6967073,14.22754325,18.59709615,21.56866715,25.87111301,27.75528178,31.09962115,34.24688156,37.9520195,41.86635892,43.36102836,48.39656005,54.48275057,61.44226911,68.86595791,
United Arab Emirates,ARE,0,0,0,0,0,0.102939175,0.375393534,3.295592694,6.908302986,14.94269899,23.62530088,26.2717542,28.31648531,29.47795341,30.13129617,40,52,61,63,64,68,78,84.9999915,88,90.4,90.5,90.60000732,94.81992254,98.45000178,99.14999998,100,
Argentina,ARG,0,0,0.002992874,0.029527065,0.043705951,0.086277081,0.141954704,0.280339882,0.83076668,3.284481956,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7,68.04306411,70.96898082,74.29490687,77.7,79.9,85.5,
